"day","conc_ug_mL"
0.2,0.0018216
0.7,0.0050382
1.2,0.0068396
1.7,0.0076858
2.2,0.0079008
2.7,0.0077121
3.2,0.0072787
3.7,0.0067101
4.2,0.0060808
4.7,0.0054398
5.2,0.0048185
5.7,0.0042357
6.2,0.0037014
6.7,0.00322
7.2,0.011912
7.7,0.027804
8.2,0.036876
8.7,0.041315
9.2,0.042632
9.7,0.041891
10.2,0.039849
10.7,0.037042
11.2,0.033846
11.7,0.030519
12.2,0.027236
12.7,0.024107
13.2,0.0212
13.7,0.01855
14.2,0.57217
14.7,1.6492
15.2,2.3848
15.7,2.8702
16.2,3.1726
16.7,3.3419
17.2,3.4151
17.7,3.4196
18.2,3.3756
18.7,3.2983
19.2,3.1985
19.7,3.0844
20.2,2.9619
20.7,2.8351
21.2,3.2684
21.7,4.2411
22.2,4.8753
22.7,5.2623
23.2,5.4695
23.7,5.5473
24.2,5.5328
24.7,5.4536
25.2,5.3299
25.7,5.1766
26.2,5.0048
26.7,4.8224
27.2,4.635
27.7,4.4469
28.2,4.8221
28.7,5.74
29.2,6.3225
29.7,6.6606
30.2,6.8216
30.7,6.8556
31.2,6.7997
31.7,6.6813
32.2,6.5205
32.7,6.3321
33.2,6.1269
33.7,5.9129
34.2,5.6955
34.7,5.479
35.2,5.8271
35.7,6.7195
36.2,7.2778
36.7,7.5928
37.2,7.732
37.7,7.7452
38.2,7.6695
38.7,7.5322
39.2,7.3534
39.7,7.1479
40.2,6.9265
40.7,6.6968
41.2,6.4646
41.7,6.2338
42.2,6.5684
42.7,7.4477
43.2,7.9936
43.7,8.2967
44.2,8.4245
44.7,8.4268
45.2,8.3406
45.7,8.1932
46.2,8.0047
46.7,7.7899
47.2,7.5594
47.7,7.3211
48.2,7.0806
48.7,6.8417
49.2,7.1684
49.7,8.0403
50.2,8.5789
50.7,8.875
51.2,8.996
51.7,8.9917
52.2,8.8991
52.7,8.7455
53.2,8.551
53.7,8.3303
54.2,8.0941
54.7,7.8502
55.2,7.6043
55.7,7.3601
56.2,7.6817
56.7,8.5485
57.2,9.0822
57.7,9.3735
58.2,9.4898
58.7,9.4809
59.2,9.3839
59.7,9.2259
60.2,9.0271
60.7,8.8021
61.2,8.5618
61.7,8.3138
62.2,8.0638
62.7,7.8157
63.2,8.1335
63.7,8.9964
64.2,9.5264
64.7,9.8141
65.2,9.9267
65.7,9.9143
66.2,9.8137
66.7,9.6523
67.2,9.45
67.7,9.2217
68.2,8.9781
68.7,8.7268
69.2,8.4736
69.7,8.2223
70.2,8.5368
70.7,9.3967
71.2,9.9236
71.7,10.208
72.2,10.318
72.7,10.302
73.2,10.199
73.7,10.034
74.2,9.8293
74.7,9.5982
75.2,9.3517
75.7,9.0976
76.2,8.8416
76.7,8.5875
77.2,8.8993
77.7,9.7565
78.2,10.281
78.7,10.563
79.2,10.67
79.7,10.652
80.2,10.546
80.7,10.379
81.2,10.171
81.7,9.9373
82.2,9.6883
82.7,9.4318
83.2,9.1733
83.7,8.9168
84.2,9.2262
84.7,10.081
85.2,10.603
85.7,10.882
86.2,10.987
86.7,10.967
87.2,10.858
87.7,10.689
88.2,10.479
88.7,10.243
89.2,9.9922
89.7,9.7335
90.2,9.4729
90.7,9.2142
91.2,9.5214
91.7,10.374
92.2,10.894
92.7,11.171
93.2,11.274
93.7,11.252
94.2,11.141
94.7,10.97
95.2,10.758
95.7,10.52
96.2,10.267
96.7,10.006
97.2,9.7435
97.7,9.4829
98.2,9.7882
98.7,10.639
99.2,11.157
99.7,11.432
100.2,11.533
100.7,11.509
101.2,11.397
101.7,11.223
102.2,11.01
102.7,10.77
103.2,10.515
103.7,10.253
104.2,9.9881
104.7,9.7257
105.2,10.029
105.7,10.878
106.2,11.394
106.7,11.668
107.2,11.767
107.7,11.741
108.2,11.627
108.7,11.453
109.2,11.237
109.7,10.996
110.2,10.739
110.7,10.475
111.2,10.209
111.7,9.9453
112.2,10.247
112.7,11.095
113.2,11.609
113.7,11.882
114.2,11.979
114.7,11.952
115.2,11.836
115.7,11.66
116.2,11.443
116.7,11.2
117.2,10.942
117.7,10.677
118.2,10.409
118.7,10.144
119.2,10.444
119.7,11.29
120.2,11.804
120.7,12.075
121.2,12.171
121.7,12.142
122.2,12.025
122.7,11.847
123.2,11.629
123.7,11.385
124.2,11.126
124.7,10.859
125.2,10.59
125.7,10.323
126.2,10.623
126.7,11.467
127.2,11.979
127.7,12.249
128.2,12.344
128.7,12.314
129.2,12.196
129.7,12.017
130.2,11.797
130.7,11.552
131.2,11.291
131.7,11.023
132.2,10.753
132.7,10.486
133.2,10.784
133.7,11.627
134.2,12.138
134.7,12.407
135.2,12.5
135.7,12.469
136.2,12.35
136.7,12.17
137.2,11.95
137.7,11.703
138.2,11.441
138.7,11.172
139.2,10.901
139.7,10.632
140.2,10.929
140.7,11.772
141.2,12.282
141.7,12.549
142.2,12.642
142.7,12.61
143.2,12.489
143.7,12.309
144.2,12.087
144.7,11.84
145.2,11.577
145.7,11.307
146.2,11.035
146.7,10.765
147.2,11.061
147.7,11.903
148.2,12.411
148.7,12.678
149.2,12.77
149.7,12.737
150.2,12.616
150.7,12.434
151.2,12.211
151.7,11.963
152.2,11.699
152.7,11.429
153.2,11.156
153.7,10.885
154.2,11.18
154.7,12.021
155.2,12.529
155.7,12.795
156.2,12.886
156.7,12.852
157.2,12.73
157.7,12.547
158.2,12.324
158.7,12.075
159.2,11.81
159.7,11.539
160.2,11.265
160.7,10.993
161.2,11.288
161.7,12.128
162.2,12.635
162.7,12.9
163.2,12.99
163.7,12.955
164.2,12.833
164.7,12.649
165.2,12.425
165.7,12.176
166.2,11.911
166.7,11.638
167.2,11.364
167.7,11.091
168.2,11.385
168.7,12.224
169.2,12.731
169.7,12.995
170.2,13.085
170.7,13.049
171.2,12.926
171.7,12.742
172.2,12.517
172.7,12.267
173.2,12.001
173.7,11.728
174.2,11.453
174.7,11.18
175.2,11.473
175.7,12.312
