subtype,day,conc_mg_L,blob_px
DLBCL,0.16,0.04647,23
DLBCL,1.06,0.02203,4
DLBCL,1.28,0.08969,13
DLBCL,2.21,0.07265,18
DLBCL,3.17,0.05701,24
DLBCL,7.09,0.01398,13
DLBCL,7.32,0.3649,8
DLBCL,8.02,0.2673,13
DLBCL,8.15,0.6509,12
DLBCL,9.22,0.4879,6
DLBCL,10.16,0.3713,19
DLBCL,14.03,0.116,9
DLBCL,14.18,2.492,12
DLBCL,15.15,1.684,8
DLBCL,15.22,3.48,9
DLBCL,16.18,3.13,16
DLBCL,17.16,2.418,18
DLBCL,21.0,1.315,24
FL,0.21,0.02808,5
FL,0.98,0.008437,22
FL,1.25,0.07385,14
FL,2.08,0.03385,11
FL,6.96,0.003262,20
FL,8.03,0.2171,11
FL,8.24,0.4701,9
FL,9.12,0.327,8
FL,13.97,0.05389,23
FL,14.08,2.229,13
FL,15.01,1.392,10
FL,15.21,3.75,8
FL,16.21,2.725,11
FL,20.99,0.5577,22
