week,day,conc_ug_mL
-1.0177,-7.124,0.02145
-0.9423,-6.596,0.03333
-0.867,-6.069,0.05639
-0.7917,-5.542,0.0954
-0.7163,-5.014,0.1183
-0.641,-4.487,0.141
-0.5657,-3.96,0.2944
-0.4903,-3.432,0.4761
-0.415,-2.905,0.6115
-0.3397,-2.378,0.7472
-0.2643,-1.85,0.8903
-0.189,-1.323,0.9743
-0.1137,-0.796,1.04
-0.0383,-0.268,1.104
0.037,0.259,2.237
0.1123,0.786,3.006
0.1877,1.314,3.691
0.263,1.841,4.421
0.3383,2.368,4.862
0.4137,2.896,5.189
0.489,3.423,5.538
0.5643,3.95,5.823
0.6397,4.478,5.94
0.715,5.005,6.091
0.7903,5.532,6.091
0.8656,6.06,6.091
0.941,6.587,6.091
1.0163,7.114,6.34
1.0916,7.642,7.554
1.167,8.169,8.267
1.2423,8.696,8.823
1.3176,9.223,9.37
1.393,9.751,9.704
1.4683,10.278,9.851
1.5436,10.805,10.05
1.619,11.333,10.05
1.6943,11.86,10.05
1.7696,12.387,9.95
1.845,12.915,9.753
1.9203,13.442,9.607
1.9956,13.969,9.559
2.071,14.497,10.67
2.1463,15.024,11.62
2.2216,15.551,12.22
2.297,16.079,12.53
2.3723,16.606,12.91
2.4476,17.133,12.91
2.523,17.661,12.91
2.5983,18.188,12.91
2.6736,18.715,12.91
2.7489,19.243,12.65
2.8243,19.77,12.53
2.8996,20.297,12.16
2.9749,20.825,11.98
3.0503,21.352,12.72
3.1256,21.879,13.57
3.2009,22.407,14.2
3.2763,22.934,14.56
3.3516,23.461,14.7
3.4269,23.989,14.78
3.5023,24.516,14.78
3.5776,25.043,14.7
3.6529,25.571,14.7
3.7283,26.098,14.56
3.8036,26.625,14.27
3.8789,27.153,14.13
3.9543,27.68,13.92
4.0296,28.207,14.34
4.1049,28.734,15.38
4.1803,29.262,15.93
4.2556,29.789,16.25
4.3309,30.316,16.58
4.4063,30.844,16.58
4.4816,31.371,16.58
4.5569,31.898,16.58
4.6323,32.426,16.42
4.7076,32.953,16.09
4.7829,33.48,16.09
4.8582,34.008,15.62
4.9336,34.535,15.46
5.0089,35.062,15.46
5.0842,35.59,16.42
5.1596,36.117,17.09
5.2349,36.644,17.52
5.3102,37.172,17.79
5.3856,37.699,17.88
5.5362,38.754,17.79
5.6116,39.281,17.79
5.6869,39.808,17.61
5.7622,40.336,17.26
5.8376,40.863,17.09
5.9129,41.39,16.58
5.9882,41.918,16.42
6.0636,42.445,17.17
6.1389,42.972,17.97
6.2142,43.5,18.61
6.2896,44.027,18.89
6.3649,44.554,18.98
6.5344,45.741,18.89
6.6097,46.268,18.89
6.6851,46.795,18.89
6.7604,47.323,18.42
6.8357,47.85,18.06
6.911,48.377,17.52
6.9864,48.905,17.35
7.0617,49.432,18.33
7.137,49.959,18.98
7.2124,50.487,19.46
7.2877,51.014,19.96
7.363,51.541,20.06
7.4384,52.069,20.06
7.5137,52.596,20.06
7.589,53.123,20.06
7.6644,53.651,19.66
7.7397,54.178,19.46
7.815,54.705,18.98
7.8904,55.233,18.7
7.9657,55.76,18.33
8.041,56.287,18.98
8.1164,56.815,19.86
8.1917,57.342,20.57
8.267,57.869,20.67
8.3424,58.397,20.88
8.493,59.451,20.88
8.5684,59.978,20.67
8.6437,60.506,20.67
8.719,61.033,20.26
8.7944,61.56,20.06
8.8697,62.088,19.46
8.945,62.615,19.17
9.0203,63.142,19.27
9.0957,63.67,20.26
9.171,64.197,20.88
9.2463,64.724,21.3
9.3217,65.252,21.52
9.397,65.779,21.52
9.4723,66.306,21.62
9.5477,66.834,21.41
9.623,67.361,21.3
9.6983,67.888,20.88
9.7737,68.416,20.67
9.849,68.943,20.16
9.9243,69.47,19.76
9.9997,69.998,19.76
10.075,70.525,20.57
10.1503,71.052,21.3
